;2019;;;2020;;;2021;;;2022;;;2023;;;2024;;
;Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone)
SLOVENIJA;1064321,21;749249,56;66323,99;1026009,80;745782,24;65683,34;1091176,65;769029,82;56226,06;1045686,74;760838,22;67865,78;1097811,19;801407,84;77988,60;1118241,98;798720,07;81400,99
Ajdovščina;9599,51;6679,95;270,68;9333,25;7959,24;271,98;11256,35;8558,86;298,57;9590,05;7411,93;319,20;10136,65;7788,62;648,54;10194,68;7244,49;643,68
Ankaran/Ancarano;1841,43;1356,70;53,03;1768,91;1435,98;54,34;1804,45;1499,53;45,99;1868,16;1424,36;23,69;1910,57;1581,35;-;2057,96;1646,59;-
Apače;1754,43;1221,90;226,39;1541,34;1339,79;243,86;1293,57;1168,56;145,16;1576,65;1158,03;82,34;1359,52;1180,77;63,93;1474,82;1164,19;69,20
Beltinci;4051,34;2830,39;414,84;3417,81;2886,57;371,17;3414,78;3031,22;377,06;3783,61;3222,39;253,96;4026,69;3527,95;226,00;4818,67;3969,82;299,70
Benedikt;969,51;579,91;80,84;731,13;561,51;47,19;845,88;705,93;71,08;782,24;556,43;54,27;851,60;606,24;34,66;901,89;625,09;50,35
Bistrica ob Sotli;498,90;297,92;28,71;415,15;326,57;25,76;398,70;352,91;27,81;373,27;285,61;19,41;337,45;288,97;18,05;373,13;297,87;14,74
Bled;5561,63;4378,67;392,19;4088,35;3514,13;282,64;4398,82;3731,08;285,69;4956,35;4082,62;282,24;4974,64;4141,63;359,76;4757,45;4177,42;446,90
Bloke;495,74;259,48;12,54;478,08;362,74;14,97;527,05;468,14;24,09;499,20;463,24;19,39;608,21;570,90;103,03;640,39;538,22;110,73
Bohinj;2934,71;2163,06;545,84;2583,91;2169,23;493,07;2556,08;2248,17;503,62;2810,73;2433,95;522,23;2819,63;2433,74;438,51;2913,77;2510,21;238,97
Borovnica;2353,07;1667,50;26,52;1970,75;1671,57;29,73;1970,58;1674,88;27,66;1939,94;1630,92;26,89;1980,44;1620,61;65,02;2010,53;1550,22;65,77
Bovec;2252,72;1789,24;32,75;2791,08;1693,94;32,32;2781,45;1745,19;32,00;2558,22;1655,81;30,00;2650,70;1744,67;-;2739,78;1758,56;-
Braslovče;2439,09;1597,18;149,81;1980,94;1636,24;117,28;2144,53;1845,79;119,42;2344,20;1925,43;107,83;5456,52;4913,04;125,89;2317,09;1937,27;97,76
Brda;3327,61;2478,46;106,79;3045,70;2698,18;57,45;3006,77;2830,19;6,36;2848,38;2631,40;3,50;2840,20;2620,39;0,40;2967,66;2733,60;28,95
Brezovica;5819,22;3930,49;134,53;4870,48;3881,85;145,01;4622,67;3954,71;147,81;4316,66;3682,01;130,02;4477,59;3890,57;309,27;4851,76;4075,67;319,98
Brežice;10694,06;7051,85;391,80;10435,82;7726,76;176,52;12185,35;7393,77;196,67;10900,33;7613,02;396,11;11008,47;8443,68;1360,92;12124,12;8766,00;1478,68
Cankova;712,45;452,52;79,86;576,46;473,71;74,47;560,21;464,67;75,43;575,96;423,37;41,42;559,81;418,88;29,37;647,23;432,55;27,27
Celje;30009,86;22531,24;2889,59;28880,48;20769,76;2563,07;30249,82;19050,77;2628,79;27459,48;20458,31;2398,44;29970,36;22359,56;2630,38;30528,60;23458,76;2319,09
Cerklje na Gorenjskem;4076,32;2913,56;124,63;3492,16;2907,60;131,78;3593,24;2991,96;124,30;3666,90;2823,45;120,77;4272,75;3318,57;300,75;4211,28;3212,90;293,82
Cerknica;5155,51;3402,78;738,72;4865,08;3571,25;702,42;5703,67;3923,45;702,31;5358,72;4012,03;1222,52;6167,30;3702,91;1117,77;5677,23;4124,52;378,21
Cerkno;1962,89;1272,81;55,91;1510,82;1209,68;55,55;1381,58;1125,05;47,00;1266,73;1046,44;44,87;1265,89;1063,11;105,23;1479,17;1219,49;102,28
Cerkvenjak;766,36;452,75;43,60;551,76;420,32;33,59;682,22;579,81;56,47;561,41;461,35;37,13;600,54;492,26;31,80;660,34;534,02;36,16
Cirkulane;665,88;309,76;45,51;520,40;388,03;19,76;493,53;418,34;10,00;534,77;400,25;5,00;552,66;387,49;11,66;527,13;378,76;13,97
Črenšovci;1552,43;955,67;157,51;1151,69;915,69;145,56;1072,24;942,27;126,68;1213,02;869,88;67,60;1246,23;926,07;57,81;1503,71;979,02;51,66
Črna na Koroškem;1342,72;848,03;157,45;1201,34;819,94;113,85;1574,79;836,76;121,16;1314,15;838,56;104,94;2248,51;1363,38;162,82;1813,43;892,55;152,76
Črnomelj;5642,21;3485,11;325,92;4716,63;3806,51;312,99;4621,42;3921,95;273,98;5210,75;3879,34;361,70;5218,22;3982,91;447,38;4928,51;4021,10;593,26
Destrnik;857,31;462,73;46,18;674,03;481,15;23,27;598,90;511,29;18,50;738,20;464,80;10,00;965,12;481,56;13,48;711,21;476,41;16,83
Divača;1725,24;1092,75;11,77;1628,86;1352,38;9,87;2076,63;1383,92;10,00;2194,72;1410,66;10,00;2103,91;1512,54;-;2056,38;1507,15;-
Dobje;383,68;238,19;24,78;434,09;240,92;16,38;321,29;290,80;22,67;381,91;302,68;18,70;430,26;359,09;24,63;316,56;277,08;22,26
Dobrepolje;1452,21;873,55;69,46;1352,91;1104,00;89,70;1114,61;970,64;32,40;1191,25;913,85;21,48;1155,01;978,95;72,35;980,12;780,83;116,20
Dobrna;1297,06;898,28;97,57;1137,67;937,78;90,91;1212,88;1017,83;85,82;1234,05;979,97;64,85;1354,62;1154,70;85,85;924,21;711,47;65,35
Dobrova - Polhov Gradec;2511,50;1342,71;69,23;2063,35;1595,87;70,26;1913,81;1518,42;62,27;1813,51;1571,43;71,11;2160,78;1756,26;175,06;2101,00;1668,81;164,20
